age,gender,travel_preferences,destination,duration,purpose,user_budget,actual_expenses,current_location_latitude,current_location_longitude,destination_latitude,destination_longitude,distance,current_cost_of_living_index,destination_cost_of_living_index,accommodation_type,accommodation_cost_per_night,transportation_mode,transportation_cost,daily_meal_expenses,average_restaurant_prices,planned_activities,weather_data,local_events
51,2,2,Arunachal Pradesh,15,0,1000.0,47135.67,20.082814,108.273158,17.071306,83.7984,287969,150,360,2,1000.0,0,5000.0,533.4,6580.96,shopping,rainy,music festival
35,5,2,Himachal Pradesh,29,1,50000.0,12543.86,23.637628,18.0702683,19.388176,72.1419,420624,653,825,2,2000.0,0,2000.0,849.52,3815.15,shopping,cloudy,music festival
82,5,0,Arunachal Pradesh,5,1,5000.0,2295.43,22.353467,34.905759,31.477294,83.9831,403842,490,169,0,2000.0,2,5000.0,116.97,3465.59,education,cloudy,music festival
24,5,0,Gujarat,20,2,35000.0,20911.94,9.677144,34.2866091,30.830187,95.37,300655,153,844,0,1000.0,2,100.0,645.31,3490.99,education,rainy,sports event
75,6,0,Andhra Pradesh,23,2,25000.0,15236.63,22.512052,124.4239533,21.909541,74.9984,1435629,232,339,2,1000.0,0,100.0,316.02,5995.75,hiking,cloudy,sports event
24,2,1,Manipur,3,0,2000.0,38635.81,27.795317,110.2889917,32.584165,91.6498,1065741,324,826,1,1000.0,1,500.0,694.71,6614.63,vacation,cloudy,music festival
61,2,1,Odisha,10,2,1000.0,45913.14,33.689327,127.5932189,10.500999,85.5244,418374,642,774,1,2000.0,2,100.0,871.73,9237.17,education,rainy,sports event
21,2,2,Meghalaya,19,0,1000.0,23362.74,26.770743,43.5299495,30.62482,75.7,1056096,620,507,2,100.0,2,1000.0,118.78,5204.28,sightseeing,rainy,art exhibition
30,1,1,Himachal Pradesh,1,2,25000.0,13410.03,17.880724,1.375111,28.575768,70.3573,575633,607,336,1,100.0,1,5000.0,783.06,1889.88,education,cloudy,art exhibition
48,2,2,Maharashtra,20,2,25000.0,40093.45,9.345772,107.8034,35.680562,90.9625,701986,441,631,2,100.0,1,5000.0,694.92,5861.06,vacation,cloudy,art exhibition
30,5,1,Tamil Nadu,22,0,25000.0,49972.77,34.189359,-38.2893787,8.42166,82.5526,43451,764,763,2,1000.0,2,500.0,607.33,8456.54,sightseeing,rainy,music festival
70,3,1,Gujarat,25,1,35000.0,4845.16,29.553737,6.0001426,19.389931,85.4678,150772,694,113,2,100.0,1,100.0,209.1,3967.87,education,sunny,sports event
66,2,0,Jharkhand,14,0,25000.0,15453.05,31.090274,116.156645,26.732512,70.2567,1093127,954,652,0,1000.0,2,5000.0,188.49,5585.73,vacation,sunny,music festival
31,5,1,Karnataka,29,2,50000.0,44224.34,15.527074,15.6741931,20.477165,90.2299,238173,733,730,2,2000.0,0,100.0,911.33,4499.99,sightseeing,sunny,sports event
54,7,1,Haryana,12,1,50000.0,21695.94,11.924333,-49.2162908,17.520163,74.8651,396438,555,434,2,2000.0,2,100.0,64.45,3063.14,shopping,sunny,music festival
43,2,0,Meghalaya,27,1,15000.0,18106.56,35.903881,127.464602,8.78931,77.1564,554766,922,107,1,500.0,1,2000.0,614.98,822.16,education,cloudy,sports event
38,2,1,Meghalaya,23,2,5000.0,622.75,21.890095,111.885002,20.343007,82.9426,1043012,553,746,0,100.0,1,500.0,497.25,661.12,education,sunny,sports event
33,2,1,Chhattisgarh,3,1,500.0,25507.09,30.032009,27.0548658,24.325834,77.6307,823629,715,210,0,500.0,0,500.0,88.17,4527.06,hiking,sunny,art exhibition
76,5,1,Madhya Pradesh,11,0,100.0,11575.64,18.04789,110.241387,34.410421,89.9337,526371,987,763,1,100.0,0,2000.0,80.3,5067.1,hiking,rainy,sports event
70,5,1,Sikkim,24,1,500.0,31862.21,13.644531,136.7835269,19.717193,73.0602,187963,739,331,2,100.0,2,1000.0,688.33,5190.29,shopping,sunny,music festival
74,7,0,Mizoram,22,1,2000.0,42949.54,31.677196,121.7252,28.787101,71.2157,339542,762,900,1,2000.0,2,1000.0,453.87,3672.43,hiking,sunny,sports event
32,5,0,Haryana,18,1,2000.0,48999.71,8.431146,17.865273,29.172507,85.016,994404,540,987,2,1000.0,2,5000.0,326.0,7461.57,shopping,cloudy,sports event
65,5,1,Odisha,16,2,15000.0,39156.12,31.530582,47.9897691,35.8809,85.6996,536047,343,925,0,2000.0,1,500.0,900.15,3599.58,hiking,rainy,art exhibition
59,2,0,Bihar,30,1,15000.0,22267.37,29.558458,19.1954375,30.451649,90.3045,364761,105,899,2,2000.0,0,100.0,204.38,5405.4,hiking,rainy,music festival
76,2,2,Maharashtra,30,1,1000.0,46133.78,12.580462,11.9027428,35.408533,92.4337,1362493,578,382,0,2000.0,1,500.0,125.48,1502.86,vacation,sunny,art exhibition
41,2,0,Arunachal Pradesh,1,2,10000.0,41181.1,9.69208,102.990108,25.12283,70.4113,2488,506,868,1,500.0,1,2000.0,919.01,9679.88,shopping,cloudy,art exhibition
27,5,0,Maharashtra,17,2,35000.0,31867.24,36.004541,-99.1015181,24.331554,77.7626,279583,216,652,0,1000.0,1,5000.0,173.2,1119.56,shopping,rainy,art exhibition
84,2,1,Bihar,23,2,15000.0,7763.77,36.515396,119.567195,15.166714,88.2513,836044,76,647,2,500.0,1,500.0,537.29,1874.36,shopping,cloudy,art exhibition
68,5,2,Andhra Pradesh,12,0,10000.0,46713.43,19.391879,116.179599,20.568299,77.243,202697,570,368,2,1000.0,1,500.0,438.67,9073.21,hiking,rainy,art exhibition
37,2,0,Meghalaya,20,1,1000.0,12131.98,21.067369,11.20197,13.351321,83.9532,523314,2,640,2,2000.0,2,500.0,633.74,3011.23,sightseeing,rainy,art exhibition
18,2,0,Chhattisgarh,8,1,15000.0,2923.63,35.333216,12.0732915,22.99967,83.4758,367497,325,692,2,1000.0,0,5000.0,741.23,4794.52,shopping,sunny,music festival
23,5,2,Madhya Pradesh,14,2,35000.0,29205.62,21.681038,41.1651836,14.461746,69.3873,1147815,132,994,2,1000.0,0,1000.0,473.45,1533.41,shopping,rainy,sports event
42,5,1,Goa,10,1,50000.0,28192.04,35.279387,117.173524,32.083295,94.2799,886873,675,263,1,100.0,0,1000.0,448.51,4327.57,sightseeing,rainy,sports event
60,5,2,Arunachal Pradesh,22,2,35000.0,40444.94,18.439524,-74.3132878,14.557599,91.2027,509556,163,216,1,500.0,1,1000.0,644.74,3699.38,hiking,cloudy,sports event
58,2,1,Bihar,10,0,2000.0,27442.03,9.432665,33.3037143,30.3197,76.0167,893269,384,473,1,1000.0,2,5000.0,43.59,4828.13,sightseeing,rainy,sports event
73,5,1,Mizoram,9,1,35000.0,6721.07,30.196003,5.380142,28.544545,77.4698,1359175,30,443,1,1000.0,1,5000.0,697.33,3168.92,education,sunny,music festival
75,3,1,Uttar Pradesh,9,0,35000.0,29664.19,15.733459,14.4342708,13.854392,81.3184,130898,7,890,2,100.0,0,2000.0,898.96,1426.45,shopping,rainy,music festival
54,2,2,Arunachal Pradesh,7,2,10000.0,19762.95,20.764109,17.99097,18.830967,89.6074,800036,521,993,0,500.0,1,2000.0,310.87,8788.77,education,sunny,sports event
52,5,0,Tamil Nadu,19,0,35000.0,27688.45,23.657647,114.503413,12.730994,93.7873,887535,568,902,0,100.0,1,2000.0,456.58,2120.12,shopping,rainy,art exhibition
36,3,1,Madhya Pradesh,12,0,5000.0,26003.91,26.98442,-96.1275175,16.350906,69.5272,510552,766,41,2,100.0,2,1000.0,176.29,4069.51,vacation,sunny,sports event
59,5,0,Rajasthan,9,2,2000.0,35635.49,21.633013,83.9124232,17.572724,87.3496,400592,933,869,0,100.0,1,100.0,456.4,7051.34,education,sunny,music festival
18,2,1,Telangana,15,1,25000.0,16621.89,34.405318,29.8120795,33.360416,84.5717,463005,430,568,1,100.0,2,5000.0,847.89,2418.06,shopping,rainy,sports event
78,5,0,Goa,9,1,100.0,15107.21,9.127544,100.8282161,10.582654,71.5583,624502,387,827,0,1000.0,0,100.0,543.64,1526.51,sightseeing,rainy,art exhibition
39,2,2,Odisha,19,1,1000.0,14271.58,20.721673,-74.2349232,11.531326,84.0548,983561,897,143,1,100.0,1,5000.0,581.82,3877.8,sightseeing,rainy,art exhibition
69,2,2,Assam,25,1,10000.0,20533.43,9.316927,-8.753421,13.493472,91.6785,556936,906,997,0,1000.0,2,5000.0,290.25,8840.59,shopping,cloudy,music festival
74,5,2,Odisha,30,1,1000.0,19662.41,35.229809,-8.9052753,13.59132,88.9917,852141,924,846,2,500.0,0,100.0,614.51,7929.91,education,rainy,art exhibition
75,5,0,Uttar Pradesh,9,1,50000.0,12928.72,35.930584,37.6232011,14.258016,76.2498,294942,690,0,1,100.0,1,2000.0,950.57,7492.55,hiking,cloudy,music festival
24,2,0,Jharkhand,2,2,2000.0,15735.11,17.296449,20.4489216,36.095197,76.191,383935,932,580,1,2000.0,0,1000.0,482.04,601.39,education,rainy,art exhibition
45,2,2,Uttar Pradesh,30,0,5000.0,6423.1,32.041996,-17.0982397,29.949873,78.1373,142458,963,602,1,2000.0,0,2000.0,212.74,2247.58,shopping,rainy,music festival
40,2,1,Haryana,29,1,15000.0,13712.89,29.426271,-2.1008486,36.099691,75.2833,399340,715,884,1,500.0,0,2000.0,200.58,2348.44,vacation,rainy,music festival
25,2,2,Madhya Pradesh,22,0,5000.0,21498.33,29.960007,2.3410371,13.004039,74.0229,820925,3,564,2,2000.0,0,5000.0,708.71,9560.5,education,sunny,art exhibition
78,2,1,Uttar Pradesh,19,2,15000.0,3976.4,31.243473,114.0369075,9.340398,79.5916,1298250,23,279,2,500.0,2,1000.0,525.81,2312.53,vacation,sunny,sports event
72,5,0,Sikkim,10,2,35000.0,46141.46,29.429872,75.3150685,23.874174,77.1266,67127,370,571,1,500.0,0,100.0,911.44,3187.05,hiking,sunny,sports event
84,2,1,Arunachal Pradesh,24,0,25000.0,34220.34,31.732793,48.61667,34.425171,79.0566,1468738,831,924,2,500.0,0,500.0,524.9,8853.12,education,sunny,sports event
56,5,1,Jharkhand,14,1,2000.0,43000.76,8.023765,112.122426,35.941837,73.5363,788643,864,880,1,2000.0,2,2000.0,177.07,820.73,vacation,cloudy,music festival
19,5,2,Kerala,10,1,35000.0,16507.23,15.133227,116.504048,33.298017,71.8711,145182,182,991,2,500.0,0,5000.0,121.26,1746.12,vacation,rainy,sports event
69,5,1,Maharashtra,8,1,100.0,21964.88,19.564937,116.357581,30.058261,89.1983,329403,427,172,0,2000.0,2,1000.0,720.34,6716.53,education,sunny,sports event
85,5,0,Punjab,20,2,500.0,21303.39,33.192815,113.609286,31.354857,88.7629,1455919,772,609,2,2000.0,0,100.0,245.43,6324.63,vacation,sunny,art exhibition
51,2,2,Rajasthan,11,0,1000.0,30371.53,29.770447,5.0840393,17.751932,69.4624,532476,835,105,2,100.0,1,1000.0,783.95,6556.62,education,sunny,music festival
64,2,2,Punjab,15,1,2000.0,23146.36,9.192107,-0.9009942,27.511945,94.9426,356881,957,199,1,1000.0,0,100.0,819.27,947.71,hiking,sunny,music festival
30,2,0,Himachal Pradesh,27,1,5000.0,25618.08,20.828753,-1.875716,28.018682,96.7385,181995,924,61,0,100.0,1,500.0,466.22,4815.8,vacation,sunny,music festival
66,5,1,Punjab,17,1,35000.0,5732.98,32.827002,114.879239,30.54117,82.7243,1269289,851,869,0,500.0,1,1000.0,943.07,1905.86,sightseeing,sunny,art exhibition
62,5,0,Andhra Pradesh,11,0,5000.0,37342.24,9.696785,123.0925437,15.713339,71.1077,848331,920,143,0,1000.0,2,1000.0,605.92,5803.78,sightseeing,sunny,music festival
18,2,2,Jharkhand,19,0,50000.0,23033.38,8.681304,107.7873095,34.855701,84.9364,1471164,300,652,0,500.0,1,5000.0,506.53,3569.74,shopping,rainy,music festival
54,2,0,Goa,1,0,50000.0,40476.21,10.947741,-8.3877778,12.743576,88.1572,1226097,609,374,1,1000.0,0,500.0,299.22,7710.73,hiking,cloudy,music festival
19,2,0,Kerala,5,0,100.0,40274.82,8.220335,20.3941836,15.72915,77.308,1253503,669,557,1,1000.0,0,2000.0,948.53,3316.74,vacation,sunny,music festival
59,5,2,Odisha,17,0,35000.0,37591.76,12.766451,114.514893,14.019525,84.6827,560320,377,305,1,1000.0,1,5000.0,725.81,1302.24,shopping,cloudy,sports event
47,2,1,Tamil Nadu,20,1,15000.0,17310.77,31.465473,116.809657,28.126607,74.5964,122294,238,978,2,100.0,2,2000.0,491.63,8677.15,sightseeing,rainy,art exhibition
23,5,1,Assam,19,0,100.0,23524.22,17.366099,98.6270628,8.995617,80.581,23876,438,1000,2,1000.0,2,2000.0,472.95,4678.38,education,cloudy,art exhibition
22,5,0,Arunachal Pradesh,22,0,1000.0,26973.4,15.838683,-46.6512239,24.251899,89.9187,439829,669,707,2,2000.0,2,1000.0,289.37,6961.53,vacation,sunny,art exhibition
67,5,1,Rajasthan,22,0,1000.0,3452.4,29.318153,115.135507,14.845359,80.2619,1369788,296,287,2,1000.0,0,100.0,342.01,5620.98,vacation,cloudy,art exhibition
20,2,2,Nagaland,13,1,50000.0,4537.68,28.38715,110.084789,30.360383,82.4304,415707,698,541,2,2000.0,0,500.0,235.61,3463.56,hiking,cloudy,music festival
37,2,1,Nagaland,18,1,10000.0,8252.73,29.029691,133.0298493,11.032979,80.1272,547476,245,898,2,2000.0,1,100.0,563.56,6497.38,education,rainy,art exhibition
80,2,1,Uttar Pradesh,21,1,5000.0,14368.18,17.279758,-61.5252827,35.697176,78.8547,1282879,548,570,1,1000.0,2,100.0,339.53,1336.04,hiking,sunny,art exhibition
44,2,2,Tamil Nadu,16,2,1000.0,22200.32,25.598765,15.2180188,11.303409,70.8397,749539,285,809,1,2000.0,1,2000.0,520.54,2018.97,education,cloudy,music festival
61,1,0,Andhra Pradesh,8,1,10000.0,22064.22,20.068417,-8.2971003,9.911132,72.3113,351075,150,290,0,1000.0,2,1000.0,795.18,9692.36,education,rainy,sports event
49,2,1,Odisha,21,2,25000.0,43584.05,21.531831,101.7637775,21.267167,95.7655,671824,970,419,2,500.0,2,1000.0,883.26,9969.22,shopping,rainy,sports event
22,2,1,Karnataka,3,1,50000.0,10073.81,36.825708,125.3297787,23.033683,75.2724,1153804,665,533,2,2000.0,0,500.0,932.3,8583.89,vacation,cloudy,art exhibition
61,1,1,Kerala,27,2,1000.0,47669.35,25.023473,-8.9140418,16.710711,79.8502,487750,176,143,1,100.0,2,100.0,320.22,1481.27,vacation,cloudy,art exhibition
59,5,2,Madhya Pradesh,18,0,500.0,18694.14,25.266676,118.200692,24.754839,96.165,1022045,997,341,0,2000.0,0,100.0,49.85,3680.0,shopping,cloudy,sports event
79,2,0,Nagaland,5,1,35000.0,3454.58,33.476427,-6.4887534,32.443766,85.1162,222127,914,363,0,2000.0,1,500.0,240.12,195.96,vacation,sunny,music festival
30,5,0,Haryana,5,1,1000.0,37177.84,25.547928,-77.6106512,10.681729,97.0249,251707,653,773,2,100.0,1,1000.0,761.64,8890.78,shopping,sunny,sports event
48,5,0,Tamil Nadu,4,0,35000.0,42442.94,21.762835,2.7425682,20.568617,94.0676,15465,384,46,1,1000.0,2,2000.0,218.62,9912.88,hiking,rainy,sports event
56,5,1,Himachal Pradesh,8,1,25000.0,31360.93,31.208732,120.585289,36.846461,82.2011,670369,288,879,0,1000.0,2,5000.0,208.34,2337.8,education,sunny,art exhibition
61,2,0,Chhattisgarh,23,1,50000.0,18495.26,24.403761,124.9997742,29.641596,77.1418,172140,209,455,1,1000.0,1,1000.0,417.67,9655.56,education,sunny,music festival
40,2,1,Nagaland,15,2,100.0,48625.97,33.350132,59.6086,16.547321,82.2995,33699,252,675,1,1000.0,0,500.0,874.57,6171.84,sightseeing,rainy,sports event
31,5,0,Mizoram,9,1,50000.0,35935.24,17.530065,26.8600648,28.275052,76.9898,920157,505,297,2,100.0,1,1000.0,52.61,667.53,hiking,sunny,art exhibition
21,5,1,Andhra Pradesh,9,1,50000.0,38035.67,36.894244,-82.855251,20.426918,70.5657,1027894,980,345,2,500.0,0,1000.0,734.78,6656.9,education,rainy,music festival
41,4,1,Bihar,15,0,25000.0,32818.27,15.455205,-2.5098914,17.638652,93.0725,923289,84,260,2,500.0,1,1000.0,398.21,2518.2,sightseeing,rainy,sports event
56,5,1,Nagaland,4,1,10000.0,1140.11,13.187842,105.8510132,10.366074,85.7612,1393147,480,932,0,500.0,0,5000.0,818.09,1585.57,shopping,sunny,art exhibition
75,4,1,Haryana,2,1,35000.0,42723.24,34.061826,47.2957582,26.019208,76.3378,930836,741,621,2,100.0,0,2000.0,632.88,1963.04,sightseeing,sunny,music festival
56,5,1,Madhya Pradesh,16,0,50000.0,14161.42,8.976303,24.9390156,34.892002,77.5967,37570,523,251,0,500.0,1,500.0,933.03,4766.92,education,sunny,sports event
72,5,2,Manipur,7,1,500.0,27444.67,11.738734,107.569381,26.716369,91.0289,848011,568,699,1,2000.0,2,2000.0,846.88,1834.49,vacation,cloudy,music festival
57,5,1,Assam,30,2,10000.0,31950.53,26.969647,20.3036711,22.48164,88.6364,893622,559,157,1,100.0,1,500.0,786.46,6502.25,vacation,cloudy,sports event
72,2,1,Kerala,21,1,1000.0,1879.49,28.265088,97.7525352,13.711393,78.5185,843613,602,561,0,2000.0,1,5000.0,526.49,6953.92,hiking,cloudy,sports event
27,2,1,Uttar Pradesh,9,0,35000.0,28388.47,21.071135,-83.504629,16.312704,88.1407,1067207,695,790,0,100.0,0,500.0,488.86,8135.79,hiking,cloudy,art exhibition
56,2,0,Kerala,20,0,25000.0,35680.74,12.964876,-0.1550173,20.631484,73.557,1288045,639,139,2,1000.0,2,1000.0,388.92,2717.98,education,rainy,sports event
78,2,0,Chhattisgarh,2,1,15000.0,10841.65,31.624464,-73.327532,31.887881,92.8074,311099,293,936,0,2000.0,2,100.0,536.63,5968.32,vacation,cloudy,sports event
35,5,2,Arunachal Pradesh,11,0,15000.0,42822.32,33.123817,106.4019733,20.389067,89.3451,395698,103,620,0,500.0,2,5000.0,942.19,7451.82,hiking,cloudy,sports event
37,2,1,Kerala,15,1,35000.0,21344.35,33.271667,85.2774207,29.99032,72.1709,1359997,483,114,2,500.0,1,100.0,986.6,1794.58,education,cloudy,sports event
55,5,1,Madhya Pradesh,25,1,50000.0,12551.05,8.39004,2.8898334,28.957641,92.288,835884,226,828,2,2000.0,1,5000.0,781.7,6380.26,vacation,rainy,art exhibition
82,5,2,Himachal Pradesh,29,0,50000.0,8722.29,10.616712,20.3755648,34.512186,81.4243,339931,742,612,0,500.0,2,500.0,540.8,324.41,shopping,sunny,sports event
47,2,1,Sikkim,15,2,35000.0,18653.12,20.330004,123.5403713,26.344665,75.4435,832749,945,754,0,500.0,0,500.0,485.93,6666.72,hiking,rainy,sports event
85,2,2,Assam,30,0,50000.0,46085.19,10.046594,106.8104633,16.868463,94.8632,591135,307,257,0,500.0,2,500.0,65.02,4614.84,shopping,rainy,art exhibition
30,5,1,Meghalaya,28,1,35000.0,15695.12,15.560588,-104.61768,29.042,88.6319,464690,554,986,0,100.0,0,100.0,532.64,8888.36,hiking,cloudy,art exhibition
64,2,0,Goa,28,1,1000.0,2979.9,34.640872,-122.38,25.269476,97.051,931972,118,437,1,100.0,2,5000.0,961.1,7112.63,education,cloudy,art exhibition
69,5,1,Andhra Pradesh,6,2,50000.0,25838.21,32.194646,115.610077,24.655009,77.9162,591047,647,711,1,100.0,0,500.0,738.09,3430.14,shopping,rainy,music festival
71,5,0,Madhya Pradesh,23,2,100.0,22156.81,36.248049,-88.5945715,18.44747,81.9694,789147,81,970,2,2000.0,1,100.0,915.67,4848.65,shopping,rainy,art exhibition
64,5,1,Madhya Pradesh,17,0,50000.0,47844.62,32.159088,-86.4187308,23.053949,77.6215,1309086,52,965,1,2000.0,2,1000.0,413.25,5736.1,education,rainy,sports event
85,2,0,Madhya Pradesh,8,2,15000.0,15918.88,14.305168,7.81191,29.892495,83.9589,811820,182,709,1,2000.0,1,1000.0,261.55,9925.62,education,rainy,art exhibition
47,6,2,Maharashtra,24,0,15000.0,1401.5,13.982239,-9.0471651,9.391189,89.9835,356196,776,56,1,500.0,2,500.0,548.45,6331.66,education,cloudy,art exhibition
29,5,1,Haryana,15,1,25000.0,39648.94,25.644073,141.8559579,20.517986,93.2908,1064666,366,462,0,500.0,0,1000.0,404.93,3320.28,education,rainy,music festival
33,3,2,Punjab,5,2,35000.0,43350.56,31.191035,49.7613122,35.872797,83.2445,741072,574,246,0,500.0,1,2000.0,453.32,1101.73,vacation,cloudy,art exhibition
85,2,0,Chhattisgarh,13,1,1000.0,2514.81,11.538077,43.8464971,30.13902,77.6074,754629,860,968,0,1000.0,2,100.0,380.18,8051.26,education,cloudy,music festival
30,5,0,Madhya Pradesh,26,1,15000.0,13307.61,25.135011,1.0598119,14.141481,93.4658,622532,744,301,2,1000.0,0,2000.0,12.42,5778.75,sightseeing,cloudy,art exhibition
79,2,2,Arunachal Pradesh,4,0,25000.0,13676.24,11.659059,-87.6,12.791705,84.24,276247,722,583,1,1000.0,0,2000.0,595.46,5079.8,vacation,cloudy,art exhibition
24,2,0,Sikkim,6,0,15000.0,44403.81,14.060816,17.9557436,20.177912,71.3181,495469,312,481,2,500.0,0,100.0,30.97,1766.24,sightseeing,rainy,art exhibition
77,2,0,Chhattisgarh,21,2,15000.0,37694.07,16.956864,120.482198,21.440868,74.7129,751282,352,737,2,100.0,2,2000.0,740.02,1505.55,education,sunny,music festival
36,5,2,Nagaland,14,2,100.0,8944.43,34.694068,115.2413041,17.932168,96.9384,1136471,199,218,2,2000.0,2,100.0,226.09,685.55,sightseeing,rainy,music festival
84,2,2,Meghalaya,16,0,500.0,944.24,29.438419,18.188947,8.223952,94.555,1143397,293,152,0,500.0,1,500.0,738.5,2118.96,shopping,rainy,music festival
22,5,0,Madhya Pradesh,2,0,2000.0,36508.71,12.486327,6.7329389,22.555346,76.4303,1364932,56,382,1,100.0,1,1000.0,122.25,6812.79,hiking,cloudy,sports event
77,2,0,Bihar,6,0,50000.0,38531.43,17.465702,23.8408158,11.518581,88.9023,306976,608,195,2,1000.0,2,500.0,138.37,6302.56,hiking,rainy,sports event
71,5,2,Rajasthan,2,0,50000.0,1550.05,8.428876,55.2695622,24.495139,87.2912,1363692,146,375,0,500.0,1,100.0,91.25,1040.33,hiking,sunny,art exhibition
37,5,0,Telangana,29,1,2000.0,25828.33,18.418209,113.02064,28.648396,70.4821,926847,136,120,0,500.0,0,1000.0,212.08,7293.18,shopping,rainy,sports event
68,2,2,Karnataka,6,0,500.0,45932.19,17.742212,-90.5279231,11.213291,94.6948,27771,603,778,2,100.0,1,1000.0,366.57,1914.95,sightseeing,sunny,art exhibition
53,5,1,Goa,4,2,100.0,20539.89,17.209215,25.4459308,22.662863,94.2772,1374253,862,90,1,1000.0,1,5000.0,858.62,5743.81,hiking,rainy,art exhibition
33,2,2,Himachal Pradesh,7,2,35000.0,43592.55,11.223415,39.72516,24.308748,87.3158,285610,354,233,0,2000.0,0,2000.0,216.18,9880.46,sightseeing,cloudy,sports event
20,5,1,Arunachal Pradesh,23,1,500.0,28009.91,21.878546,23.6168485,26.940126,79.6133,1413816,839,927,2,2000.0,1,1000.0,778.87,7721.32,education,sunny,art exhibition
21,5,0,Gujarat,4,1,100.0,43857.0,33.860174,99.617119,21.922499,85.48,24385,929,6,1,500.0,0,5000.0,530.8,2120.9,hiking,cloudy,music festival
77,2,2,Chhattisgarh,4,1,2000.0,40832.37,9.65315,83.2934086,19.89487,78.9867,428772,793,220,2,1000.0,2,100.0,738.73,6472.59,shopping,cloudy,music festival
43,5,1,Himachal Pradesh,12,0,35000.0,37183.95,26.460507,14.197982,12.115647,91.2711,888564,959,978,0,2000.0,2,1000.0,390.86,4572.78,education,rainy,sports event
37,5,1,Maharashtra,1,0,500.0,45507.78,32.411439,47.8699039,36.39847,91.6032,79924,421,264,0,2000.0,0,5000.0,653.0,9029.96,shopping,cloudy,art exhibition
57,2,2,Nagaland,1,1,5000.0,6765.6,15.496689,85.8919042,30.988199,77.8524,1447355,395,289,0,100.0,0,2000.0,470.32,8831.93,vacation,cloudy,art exhibition
79,2,2,Tamil Nadu,30,2,15000.0,24653.58,28.022072,-6.2634596,17.095549,80.2366,578002,222,393,0,1000.0,2,100.0,814.16,7042.25,vacation,sunny,art exhibition
52,2,1,Meghalaya,26,0,5000.0,39624.33,13.903886,21.5989599,28.608275,95.5455,510226,951,470,1,500.0,2,500.0,879.98,5243.45,sightseeing,sunny,music festival
36,2,0,Haryana,22,2,100.0,22053.97,32.824889,-3.1629063,18.614227,86.526,177436,341,100,2,2000.0,1,100.0,369.73,3603.9,hiking,rainy,art exhibition
79,2,2,Chhattisgarh,26,2,10000.0,45569.09,35.535112,80.6202033,15.752622,94.7883,436800,649,963,0,1000.0,2,2000.0,595.33,6815.0,hiking,sunny,sports event
69,5,2,Meghalaya,1,2,1000.0,31473.44,10.955208,122.8333359,26.057437,88.0118,907727,392,154,2,1000.0,2,1000.0,475.13,3277.18,education,cloudy,music festival
50,2,0,Meghalaya,18,2,50000.0,1165.7,29.192625,17.3811959,8.754999,90.7176,384637,268,924,2,100.0,1,100.0,705.73,60.69,vacation,cloudy,sports event
52,2,1,Bihar,9,0,50000.0,31869.15,26.967459,-9.1030431,17.255263,91.2919,1177702,104,591,0,100.0,1,2000.0,799.46,6463.22,hiking,sunny,music festival
63,5,1,Nagaland,4,2,500.0,6687.85,29.080633,106.554468,15.736629,72.4951,768752,423,925,2,100.0,2,500.0,116.63,6945.71,shopping,rainy,art exhibition
35,1,2,Assam,7,2,100.0,22402.3,26.853409,-73.868176,23.749462,91.9258,761739,817,457,1,100.0,1,100.0,30.05,5659.8,vacation,sunny,art exhibition
57,1,2,Arunachal Pradesh,7,0,35000.0,21024.76,11.585411,121.74074,26.269365,78.6628,1225907,552,700,2,1000.0,1,5000.0,268.2,6795.42,shopping,rainy,art exhibition
66,2,1,Haryana,19,2,5000.0,20456.74,19.667793,107.8034,35.062535,85.0871,218204,720,975,0,100.0,1,2000.0,15.0,2337.05,shopping,rainy,art exhibition
66,5,0,Punjab,27,0,2000.0,42824.35,30.841814,151.2502275,31.786812,83.4636,64075,642,518,0,2000.0,2,5000.0,86.34,5860.65,vacation,rainy,music festival
29,2,1,Goa,13,2,35000.0,24449.48,17.722562,10.4494906,16.282546,79.1194,4531,388,231,1,100.0,0,5000.0,899.0,8303.15,hiking,rainy,sports event
38,5,2,Assam,17,2,50000.0,41095.46,28.522397,106.0243,15.862818,88.8252,890263,313,137,2,100.0,2,100.0,256.53,2934.59,sightseeing,cloudy,art exhibition
74,2,1,Bihar,16,0,50000.0,32703.2,26.566926,78.3407084,8.3944,75.814,1498882,171,435,1,2000.0,1,1000.0,197.43,6691.64,education,cloudy,sports event
72,5,2,Chhattisgarh,27,1,35000.0,40715.83,33.102603,44.7564274,23.505281,81.3996,1388418,591,652,1,500.0,2,500.0,708.27,4108.85,hiking,rainy,music festival
75,5,2,Meghalaya,26,2,15000.0,10707.99,28.541995,17.9485065,13.174179,75.4392,415278,346,529,0,2000.0,2,1000.0,482.91,1321.72,education,rainy,sports event
53,2,1,Manipur,21,0,5000.0,7053.9,14.073329,46.3582371,32.405559,76.9883,503107,725,948,0,500.0,0,5000.0,615.73,3073.01,vacation,sunny,art exhibition
21,2,2,Karnataka,28,1,100.0,8277.63,13.349833,-43.0971625,29.964904,73.4434,602352,997,365,2,500.0,0,1000.0,506.08,7453.94,shopping,sunny,music festival
48,2,2,Arunachal Pradesh,25,1,10000.0,49413.78,15.253709,43.8709284,32.020484,95.2067,1253369,715,984,0,500.0,0,100.0,101.0,7862.79,education,rainy,sports event
